APPOINTMENTID,APPOINTMENTDATE,APPOINTMENTSTARTTIME,APPOINTMENTDURATION,PROVIDERID
291760,2025-01-29,12:30:00,60,118
283660,2025-01-02,17:30:00,60,297
294363,2025-01-31,13:30:00,10,201
294472,2025-01-31,16:00:00,10,103
294374,2025-01-31,13:30:00,10,248
294241,2025-01-31,17:00:00,10,103
294222,2025-01-31,10:00:00,20,375
294237,2025-01-31,10:30:00,10,263
294403,2025-01-31,13:20:00,10,201
294334,2025-01-31,12:06:00,20,398
294422,2025-01-31,13:45:00,10,248
294352,2025-01-31,13:15:00,10,248
294337,2025-01-31,13:10:00,10,201
294285,2025-01-31,10:45:00,10,103
278139,2025-01-15,13:40:00,20,102
278114,2025-01-15,12:40:00,20,161
278286,2025-01-15,14:40:00,20,102
278739,2025-01-15,11:00:00,20,102
279066,2025-01-14,17:00:00,20,286
279020,2025-01-15,16:00:00,20,100
279061,2025-01-14,18:40:00,20,286
278151,2025-01-15,10:00:00,20,161
279076,2025-01-14,17:40:00,20,286
278688,2025-01-15,11:40:00,20,102
278666,2025-01-15,09:40:00,20,236
278727,2025-01-15,13:20:00,20,161
279098,2025-01-15,17:00:00,20,100
265596,2025-01-16,19:40:00,20,286
257383,2025-01-20,09:50:00,20,225
278367,2025-01-20,16:20:00,20,102
278548,2025-01-20,13:00:00,20,304
279030,2025-01-20,13:20:00,20,270
278832,2025-01-20,14:00:00,20,102
270191,2025-01-22,10:00:00,20,161
281312,2025-01-22,09:00:00,10,201
277009,2025-01-22,12:00:00,20,161
277232,2025-01-22,19:50:00,20,318
277035,2025-01-22,13:20:00,20,161
277006,2025-01-15,12:30:00,20,297
278793,2025-01-22,10:20:00,20,236
278771,2025-01-22,11:00:00,20,236
272893,2025-01-23,11:00:00,10,263
277800,2025-01-23,17:00:00,20,286
277194,2025-01-22,17:40:00,20,341
277496,2025-01-23,13:00:00,20,236
277335,2025-01-23,10:00:00,20,236
277545,2025-01-23,14:40:00,20,236
267897,2025-01-22,18:40:00,20,286
261444,2025-01-23,13:40:00,20,161
278321,2025-01-23,18:20:00,20,233
272874,2025-01-23,10:00:00,10,263
267967,2025-01-22,09:10:00,10,168
271185,2025-01-24,19:20:00,20,286
268718,2025-01-24,18:00:00,20,161
257205,2025-01-24,17:40:00,20,286
261831,2025-01-24,17:00:00,20,161
213623,2025-01-21,12:00:00,20,104
278220,2025-01-24,11:00:00,20,375
278494,2025-01-24,12:00:00,60,233
270185,2025-01-27,17:20:00,20,224
275796,2025-01-27,08:40:00,20,375
275984,2025-01-27,09:00:00,20,236
276023,2025-01-27,14:40:00,20,236
276177,2025-01-27,18:00:00,20,224
277604,2025-01-27,18:00:00,10,108
274504,2025-01-27,13:20:00,20,236
278448,2025-01-27,19:00:00,20,118
278416,2025-01-27,18:30:00,10,108
278163,2025-01-27,11:00:00,20,236
289553,2025-01-27,11:15:00,10,119
289548,2025-01-27,10:45:00,10,119
276667,2025-01-27,19:00:00,20,286
277057,2025-01-28,13:20:00,20,236
274650,2025-01-28,14:40:00,20,236
266061,2025-01-27,19:40:00,20,286
278533,2025-01-28,09:30:00,10,289
278529,2025-01-28,09:00:00,20,236
279031,2025-01-28,17:00:00,10,263
289634,2025-01-28,17:15:00,10,103
289593,2025-01-27,13:00:00,10,119
272357,2025-01-23,18:40:00,20,204
270469,2025-01-28,18:20:00,20,286
267981,2025-01-28,18:30:00,10,168
268001,2025-01-28,14:00:00,10,168
274333,2025-01-29,08:45:00,10,263
276430,2025-01-29,12:40:00,20,236
266122,2025-01-29,08:00:00,20,100
267216,2025-01-29,11:40:00,20,100
267926,2025-01-29,15:00:00,20,314
267733,2025-01-29,17:30:00,20,314
267490,2025-01-29,12:20:00,20,100
266758,2025-01-29,09:40:00,20,100
267694,2025-01-29,18:30:00,20,100
265349,2025-01-29,09:30:00,20,100
262607,2025-01-29,09:00:00,20,100
279067,2025-01-28,17:00:00,20,286
279221,2025-01-28,19:20:00,20,286
277645,2025-01-23,17:40:00,20,204
277210,2025-01-28,18:00:00,20,232
278007,2025-01-29,15:30:00,10,263
272885,2025-01-30,08:15:00,10,263
275088,2025-01-30,14:45:00,10,263
272896,2025-01-30,11:00:00,10,263
270463,2025-01-29,18:20:00,20,286
277203,2025-01-29,18:40:00,20,286
288498,2025-01-29,18:00:00,10,168
287530,2025-01-14,11:30:00,60,297
286612,2025-01-22,10:30:00,30,119
287088,2025-01-30,12:45:00,10,374
285528,2025-01-29,12:15:00,10,168
286345,2025-01-09,17:30:00,60,236
283548,2025-01-21,15:30:00,20,297
283698,2025-01-30,19:30:00,10,108
283451,2025-01-30,12:00:00,10,119
283626,2025-01-30,15:00:00,10,263
284078,2025-01-28,13:45:00,10,168
281413,2025-01-16,10:40:00,10,119
282649,2025-01-29,16:45:00,10,316
272766,2025-01-29,15:15:00,10,263
268523,2025-01-10,17:00:00,20,286
267095,2025-01-08,11:00:00,20,161
267884,2025-01-08,17:00:00,20,286
268488,2025-01-14,09:10:00,20,100
267274,2025-01-15,11:40:00,20,161
268475,2025-01-14,14:15:00,10,168
267925,2025-01-06,12:00:00,20,314
267924,2025-01-06,10:10:00,20,314
266107,2025-01-07,17:40:00,20,286
266085,2025-01-07,17:00:00,20,286
263652,2025-01-07,19:00:00,20,233
267893,2025-01-08,17:40:00,20,286
266185,2025-01-09,19:20:00,20,204
265285,2025-01-07,15:00:00,20,104
265295,2025-01-08,11:20:00,20,104
265384,2025-01-09,18:20:00,20,204
267519,2025-01-13,10:00:00,20,354
267038,2025-01-15,10:40:00,20,161
267175,2025-01-15,11:20:00,20,161
267521,2025-01-14,13:40:00,20,354
265418,2025-01-06,13:20:00,20,100
265376,2025-01-06,13:10:00,20,100
263290,2025-01-06,10:00:00,20,100
263200,2025-01-06,08:30:00,20,100
262988,2025-01-06,14:00:00,20,102
265318,2025-01-13,12:00:00,20,161
265449,2025-01-13,15:00:00,20,161
263321,2025-01-10,18:20:00,20,286
263491,2025-01-09,15:00:00,20,161
265188,2025-01-13,09:10:00,20,225
261781,2025-01-03,15:00:00,20,161
261640,2025-01-03,10:00:00,20,232
294095,2025-01-30,17:40:00,20,376
294064,2025-01-30,19:15:00,10,289
294018,2025-01-31,10:45:00,10,263
293739,2025-01-31,16:15:00,10,108
293857,2025-01-30,16:20:00,20,270
294194,2025-01-30,20:35:00,10,108
293668,2025-01-30,12:00:00,10,287
293988,2025-01-30,19:00:00,10,248
293996,2025-01-30,15:45:00,10,263
293800,2025-01-30,10:40:00,20,337
293919,2025-01-30,14:45:00,10,103
293933,2025-01-30,12:45:00,10,289
294132,2025-01-30,18:30:00,10,289
292555,2025-01-28,14:15:00,10,221
292468,2025-01-28,13:30:00,10,221
292649,2025-01-28,17:15:00,10,248
292413,2025-01-28,16:00:00,10,289
292792,2025-01-28,14:45:00,10,103
292901,2025-01-28,17:30:00,10,248
292432,2025-01-28,11:15:00,10,119
292589,2025-01-29,13:45:00,10,289
292818,2025-01-28,16:30:00,10,297
292988,2025-01-29,13:30:00,10,201
292779,2025-01-28,14:15:00,10,168
292839,2025-01-30,15:50:00,20,100
292703,2025-01-30,08:50:00,20,100
292978,2025-01-30,15:00:00,20,116
292812,2025-01-29,11:00:00,20,341
292829,2025-01-28,19:15:00,10,103
292806,2025-01-30,09:00:00,20,116
292752,2025-01-28,16:00:00,10,282
292538,2025-01-29,08:30:00,10,100
292980,2025-01-28,18:00:00,10,289
292958,2025-01-29,12:00:00,10,201
275515,2025-01-31,13:00:00,20,236
275652,2025-01-30,19:00:00,20,286
259554,2025-01-31,17:00:00,20,286
268733,2025-01-28,15:00:00,20,104
216163,2025-01-28,12:40:00,20,104
278408,2025-01-31,12:00:00,20,233
292981,2025-01-29,17:30:00,10,168
292409,2025-01-30,17:45:00,10,168
292963,2025-01-30,19:40:00,20,204
293078,2025-01-29,21:00:00,10,168
293852,2025-01-30,15:20:00,20,314
293754,2025-01-30,13:15:00,10,289
294071,2025-01-30,17:50:00,10,100
293973,2025-01-30,15:55:00,10,100
293690,2025-01-30,08:40:00,20,236
293875,2025-01-30,16:45:00,10,289
294200,2025-01-31,12:20:00,20,104
293978,2025-01-31,08:15:00,10,263
293961,2025-01-31,16:30:00,10,108
293777,2025-01-31,09:15:00,10,103
293958,2025-01-30,13:45:00,10,221
294176,2025-01-31,16:45:00,10,108
293426,2025-01-29,16:00:00,10,248
293112,2025-01-29,11:20:00,20,337
293464,2025-01-29,16:15:00,10,263
