PROVIDERID,DAYOFWEEK,SLOTSTARTTIME,SLOTENDTIME
398,1,12:00:00,12:40:00
398,1,12:40:00,13:20:00
398,1,13:20:00,14:00:00
398,1,14:00:00,14:40:00
398,1,14:40:00,15:20:00
398,1,15:20:00,16:00:00
398,1,16:00:00,16:40:00
398,1,16:40:00,17:00:00
398,2,17:00:00,17:40:00
398,2,17:40:00,18:20:00
398,2,18:20:00,19:00:00
398,2,19:00:00,19:40:00
398,2,19:40:00,20:00:00
398,3,17:00:00,17:40:00
398,3,17:40:00,18:20:00
398,3,18:20:00,19:00:00
398,3,19:00:00,19:40:00
398,3,19:40:00,20:00:00
398,4,17:00:00,17:40:00
398,4,17:40:00,18:20:00
398,4,18:20:00,19:00:00
398,4,19:00:00,19:40:00
398,4,19:40:00,20:00:00
398,6,08:00:00,08:40:00
398,6,08:40:00,09:20:00
398,6,09:20:00,10:00:00
398,6,10:00:00,10:40:00
398,6,10:40:00,11:20:00
398,6,11:20:00,12:00:00
398,6,12:00:00,12:40:00
398,6,12:40:00,13:20:00
398,6,13:20:00,14:00:00
395,6,13:00:00,13:15:00
395,6,13:15:00,13:30:00
395,6,13:30:00,13:45:00
395,6,13:45:00,14:00:00
395,6,14:00:00,14:15:00
395,6,14:15:00,14:30:00
395,6,14:30:00,14:45:00
395,6,14:45:00,15:00:00
394,2,16:00:00,16:20:00
394,2,16:20:00,16:40:00
394,2,16:40:00,17:00:00
394,3,16:30:00,17:00:00
394,3,17:00:00,17:20:00
394,3,17:20:00,17:40:00
394,3,17:40:00,18:00:00
394,3,18:00:00,18:20:00
394,3,18:20:00,18:40:00
394,3,18:40:00,19:00:00
394,3,19:00:00,19:20:00
394,3,19:20:00,19:40:00
394,3,19:40:00,20:00:00
394,4,16:30:00,17:00:00
394,4,17:00:00,17:20:00
394,4,17:20:00,17:40:00
394,4,17:40:00,18:00:00
394,4,18:00:00,18:20:00
394,4,18:20:00,18:40:00
394,4,18:40:00,19:00:00
394,4,19:00:00,19:20:00
394,4,19:20:00,19:40:00
394,4,19:40:00,20:00:00
394,5,16:30:00,17:00:00
394,5,17:00:00,17:20:00
394,5,17:20:00,17:40:00
394,5,17:40:00,18:00:00
394,5,18:00:00,18:20:00
394,5,18:20:00,18:40:00
394,5,18:40:00,19:00:00
394,5,19:00:00,19:20:00
394,5,19:20:00,19:40:00
394,5,19:40:00,20:00:00
394,6,09:30:00,10:00:00
394,6,10:00:00,10:20:00
394,6,10:20:00,10:40:00
394,6,10:40:00,11:00:00
394,6,11:00:00,11:20:00
394,6,11:20:00,11:40:00
394,6,11:40:00,12:00:00
394,6,12:00:00,12:20:00
394,6,12:20:00,12:40:00
394,6,12:40:00,13:00:00
394,6,13:00:00,13:20:00
394,6,13:20:00,13:40:00
394,6,13:40:00,14:00:00
376,2,17:40:00,18:00:00
376,2,18:00:00,18:20:00
376,2,18:20:00,18:40:00
376,2,18:40:00,19:00:00
376,2,19:00:00,19:20:00
376,2,19:20:00,19:40:00
376,2,19:40:00,20:00:00
376,3,17:40:00,18:00:00
376,3,18:00:00,18:20:00
376,3,18:20:00,18:40:00
376,3,18:40:00,19:00:00
376,3,19:00:00,19:20:00
376,3,19:20:00,19:40:00
376,3,19:40:00,20:00:00
376,4,17:40:00,18:00:00
376,4,18:00:00,18:20:00
376,4,18:20:00,18:40:00
376,4,18:40:00,19:00:00
376,4,19:00:00,19:20:00
376,4,19:20:00,19:40:00
376,4,19:40:00,20:00:00
376,5,17:40:00,18:00:00
376,5,18:00:00,18:20:00
376,5,18:20:00,18:40:00
376,5,18:40:00,19:00:00
376,5,19:00:00,19:20:00
376,5,19:20:00,19:40:00
376,5,19:40:00,20:00:00
376,6,17:40:00,18:00:00
376,6,18:00:00,18:20:00
376,6,18:20:00,18:40:00
376,6,18:40:00,19:00:00
376,6,19:00:00,19:20:00
376,6,19:20:00,19:40:00
376,6,19:40:00,20:00:00
376,7,09:00:00,09:20:00
376,7,09:20:00,09:40:00
376,7,09:40:00,10:00:00
376,7,10:00:00,10:20:00
376,7,10:20:00,10:40:00
376,7,10:40:00,11:00:00
376,7,11:00:00,11:20:00
376,7,11:20:00,11:40:00
376,7,11:40:00,12:00:00
376,7,12:00:00,12:20:00
376,7,12:20:00,12:40:00
376,7,12:40:00,13:00:00
376,7,13:00:00,13:20:00
376,7,13:20:00,13:40:00
376,7,13:40:00,14:00:00
376,7,14:00:00,14:20:00
376,7,14:20:00,14:40:00
376,7,14:40:00,15:00:00
376,7,15:00:00,15:20:00
376,7,15:20:00,15:40:00
376,7,15:40:00,16:00:00
376,7,16:00:00,16:20:00
376,7,16:20:00,16:40:00
376,7,16:40:00,17:00:00
375,2,08:00:00,08:20:00
375,2,08:20:00,08:40:00
375,2,08:40:00,09:00:00
375,2,09:00:00,09:20:00
375,2,09:20:00,09:40:00
375,2,09:40:00,10:00:00
